Time,Edicao,Pontos,Vitorias,Empates,Derrotas,Jogos,Gols_Pro,Gols_Contra
América-MG,2011,37,8,13,17,38,51,69
América-MG,2016,28,7,7,24,38,23,58
América-MG,2018,40,10,10,18,38,30,47
América-MG,2021,53,13,14,11,38,41,37
América-RN,2007,17,4,5,29,38,24,80
Athletico-PR,2003,61,17,10,19,46,66,72
Athletico-PR,2004,86,25,11,10,46,93,56
Athletico-PR,2005,61,18,7,17,42,76,67
Athletico-PR,2006,48,13,9,16,38,61,62
Athletico-PR,2007,54,14,12,12,38,51,50
Athletico-PR,2008,45,12,9,17,38,45,54
Athletico-PR,2009,48,13,9,16,38,42,49
Athletico-PR,2010,60,17,9,12,38,43,45
Athletico-PR,2011,41,10,11,17,38,38,55
Athletico-PR,2013,64,18,10,10,38,65,49
Athletico-PR,2014,54,15,9,14,38,43,42
Athletico-PR,2015,51,14,9,15,38,43,48
Athletico-PR,2016,57,17,6,15,38,38,32
Athletico-PR,2017,51,14,9,15,38,45,43
Athletico-PR,2018,57,16,9,13,38,54,37
Athletico-PR,2019,64,18,10,10,38,51,32
Athletico-PR,2020,53,15,8,15,38,38,36
Athletico-PR,2021,47,13,8,17,38,41,45
Atlético-GO,2010,42,11,9,18,38,51,57
Atlético-GO,2011,48,12,12,14,38,50,45
Atlético-GO,2012,30,7,9,22,38,37,67
Atlético-GO,2017,36,9,9,20,38,38,56
Atlético-GO,2020,50,12,14,12,38,40,45
Atlético-GO,2021,53,13,14,11,38,33,36
Atlético-MG,2003,72,19,15,12,46,76,62
Atlético-MG,2004,53,12,17,17,46,60,66
Atlético-MG,2005,47,13,8,21,42,54,59
Atlético-MG,2007,55,15,10,13,38,63,51
Atlético-MG,2008,48,12,12,14,38,50,61
Atlético-MG,2009,56,16,8,14,38,55,56
Atlético-MG,2010,45,13,6,19,38,52,64
Atlético-MG,2011,45,13,6,19,38,50,60
Atlético-MG,2012,72,20,12,6,38,64,37
Atlético-MG,2013,57,15,12,11,38,49,38
Atlético-MG,2014,62,17,11,10,38,51,38
Atlético-MG,2015,69,21,6,11,38,65,47
Atlético-MG,2016,62,17,11,9,37,61,50
Atlético-MG,2017,54,14,12,12,38,52,49
Atlético-MG,2018,59,17,8,13,38,56,43
Atlético-MG,2019,48,13,9,16,38,45,49
Atlético-MG,2020,68,20,8,10,38,64,45
Atlético-MG,2021,84,26,6,6,38,67,34
Avaí,2009,57,15,12,11,38,61,52
Avaí,2010,43,11,10,17,38,49,58
Avaí,2011,31,7,10,21,38,45,75
Avaí,2015,42,11,9,18,38,38,60
Avaí,2017,43,10,13,15,38,29,48
Avaí,2019,20,3,11,24,38,18,62
Bahia,2003,46,12,10,24,46,59,92
Bahia,2011,46,11,13,14,38,43,49
Bahia,2012,47,11,14,13,38,37,41
Bahia,2013,48,12,12,14,38,37,45
Bahia,2014,37,9,10,19,38,31,43
Bahia,2017,50,13,11,14,38,50,48
Bahia,2018,48,12,12,14,38,39,41
Bahia,2019,49,12,13,13,38,44,43
Bahia,2020,44,12,8,18,38,48,59
Bahia,2021,43,11,10,17,38,42,51
Botafogo,2004,51,11,18,17,46,62,71
Botafogo,2005,59,17,8,17,42,57,56
